id,category,status,elapsed_ms,expectation,detail
"D01","dimension","PASS",6198.9156,"2D canonical unchanged",""
"D02","dimension","PASS",2620.0169,"3D canonical unchanged",""
"D03","dimension","PASS",134.6911,"2D reordered",""
"D04","dimension","PASS",215.8603,"3D reordered",""
"D05","rejection","PASS",484.3376,"unsupported dimensions rejected",""
"C01","coordinate","PASS",103.603,"latitude reversal",""
"C02","coordinate","PASS",87.5757,"longitude reversal",""
"C03","coordinate","PASS",185.8269,"0-360 longitude shift",""
"C04","coordinate","PASS",14.1844,"combined transform order",""
"N01","numeric","PASS",854.8662,"Float32 output",""
"N02","numeric","PASS",261.8074,"linear scaling",""
"N03","numeric","PASS",325.716,"limits retain boundaries",""
"N04","numeric","PASS",14.3745,"no scaling unchanged",""
"G01","gapfill","PASS",621.0286,"constant 2D land only",""
"G02","gapfill","PASS",610.8332,"constant 3D per layer",""
"G03","gapfill","PASS",445.0511,"layer nanmean",""
"G04","gapfill","PASS",0.0141,"keep as is",""
"G05","gapfill","PASS",197.0835,"land NaN diagnostic",""
"G06","gapfill","PASS",82.9638,"global NaN diagnostic",""
"G07","gapfill","PASS",168.0802,"integer conversion",""
"G08","rejection","PASS",46.7225,"unknown method named",""
"Y01","yaml","PASS",5201.0778,"minimal YAML drives pipeline",""
"Y02","rejection","PASS",0.212,"missing GAPFILL rejected before IO",""
"Y03","yaml","PASS",931.7013,"builder output validates",""
"Y04","rejection","PASS",0.1459,"LABEL cardinality rejected",""
"O01","output","PASS",398.9514,"main data structure and values",""
"O02","output","PASS",406.8919,"same-shape std appended",""
"O03","output","PASS",193.9015,"existing output is safely skipped",""
"O04","rejection","PASS",105.7801,"catalog tag conflict rejected",""
"V01","manual","MANUAL",0.0,"two reviewers accept direction plot","requires two recorded human reviewers"
"V02","manual","MANUAL",0.0,"two reviewers reject deliberately reversed plot","requires two recorded human reviewers"
