id,category,status,elapsed_ms,expectation,detail
"D01","dimension","PASS",5896.0875,"2D canonical unchanged",""
"D02","dimension","PASS",2057.6222,"3D canonical unchanged",""
"D03","dimension","PASS",61.5387,"2D reordered",""
"D04","dimension","PASS",91.1633,"3D reordered",""
"D05","rejection","PASS",703.522,"unsupported dimensions rejected",""
"C01","coordinate","PASS",132.6608,"latitude reversal",""
"C02","coordinate","PASS",97.3651,"longitude reversal",""
"C03","coordinate","PASS",257.9651,"0-360 longitude shift",""
"C04","coordinate","PASS",11.3587,"combined transform order",""
"N01","numeric","PASS",827.4335,"Float32 output",""
"N02","numeric","PASS",255.2973,"linear scaling",""
"N03","numeric","PASS",303.9841,"limits retain boundaries",""
"N04","numeric","PASS",11.4368,"no scaling unchanged",""
"G01","gapfill","PASS",543.8718,"constant 2D land only",""
"G02","gapfill","PASS",443.3065,"constant 3D per layer",""
"G03","gapfill","PASS",436.3774,"layer nanmean",""
"G04","gapfill","PASS",0.0187,"keep as is",""
"G05","gapfill","PASS",228.2999,"land NaN diagnostic",""
"G06","gapfill","PASS",108.7965,"global NaN diagnostic",""
"G07","gapfill","PASS",214.1479,"integer conversion",""
"G08","rejection","PASS",45.5814,"unknown method named",""
"Y01","yaml","PASS",4917.8451,"minimal YAML drives pipeline",""
"Y02","rejection","PASS",0.7732,"missing GAPFILL rejected before IO",""
"Y03","yaml","PASS",812.9157,"builder output validates",""
"Y04","rejection","PASS",0.1412,"LABEL cardinality rejected",""
"O01","output","PASS",406.4241,"main data structure and values",""
"O02","output","PASS",423.1133,"same-shape std appended",""
"O03","output","PASS",202.7091,"existing output is safely skipped",""
"O04","rejection","PASS",93.3973,"catalog tag conflict rejected",""
"V01","manual","MANUAL",0.0,"two reviewers accept direction plot","requires two recorded human reviewers"
"V02","manual","MANUAL",0.0,"two reviewers reject deliberately reversed plot","requires two recorded human reviewers"
