id,category,status,elapsed_ms,expectation,detail
"D01","dimension","PASS",1858.5859,"2D canonical unchanged",""
"D02","dimension","PASS",775.1537,"3D canonical unchanged",""
"D03","dimension","PASS",18.2954,"2D reordered",""
"D04","dimension","PASS",26.0518,"3D reordered",""
"D05","rejection","PASS",164.8182,"unsupported dimensions rejected",""
"C01","coordinate","PASS",31.5092,"latitude reversal",""
"C02","coordinate","PASS",29.8269,"longitude reversal",""
"C03","coordinate","PASS",61.373,"0-360 longitude shift",""
"C04","coordinate","PASS",1.8533,"combined transform order",""
"N01","numeric","PASS",260.9267,"Float32 output",""
"N02","numeric","PASS",74.8939,"linear scaling",""
"N03","numeric","PASS",120.0857,"limits retain boundaries",""
"N04","numeric","PASS",1.9,"no scaling unchanged",""
"G01","gapfill","PASS",152.5065,"constant 2D land only",""
"G02","gapfill","PASS",130.156,"constant 3D per layer",""
"G03","gapfill","PASS",136.0458,"layer nanmean",""
"G04","gapfill","PASS",0.01,"keep as is",""
"G05","gapfill","PASS",61.8124,"land NaN diagnostic",""
"G06","gapfill","PASS",29.2172,"global NaN diagnostic",""
"G07","gapfill","PASS",47.9682,"integer conversion",""
"G08","rejection","PASS",12.1903,"unknown method named",""
"Y01","yaml","PASS",1633.5034,"minimal YAML drives pipeline",""
"Y02","rejection","PASS",0.2858,"missing GAPFILL rejected before IO",""
"Y03","yaml","PASS",305.7753,"builder output validates",""
"Y04","rejection","PASS",0.2619,"LABEL cardinality rejected",""
"O01","output","PASS",102.179,"main data structure and values",""
"O02","output","PASS",117.1262,"same-shape std appended",""
"O03","output","PASS",81.077,"existing output is safely skipped",""
"O04","rejection","PASS",40.0033,"catalog tag conflict rejected",""
"V01","manual","MANUAL",0.0,"two reviewers accept direction plot","requires two recorded human reviewers"
"V02","manual","MANUAL",0.0,"two reviewers reject deliberately reversed plot","requires two recorded human reviewers"
