id,category,status,elapsed_ms,expectation,detail
"D01","dimension","PASS",2039.2892,"2D canonical unchanged",""
"D02","dimension","PASS",830.6994,"3D canonical unchanged",""
"D03","dimension","PASS",17.2726,"2D reordered",""
"D04","dimension","PASS",25.9337,"3D reordered",""
"D05","rejection","PASS",171.3946,"unsupported dimensions rejected",""
"C01","coordinate","PASS",33.36,"latitude reversal",""
"C02","coordinate","PASS",29.1028,"longitude reversal",""
"C03","coordinate","PASS",58.8849,"0-360 longitude shift",""
"C04","coordinate","PASS",1.7258,"combined transform order",""
"N01","numeric","PASS",259.5502,"Float32 output",""
"N02","numeric","PASS",91.4238,"linear scaling",""
"N03","numeric","PASS",102.7988,"limits retain boundaries",""
"N04","numeric","PASS",1.846,"no scaling unchanged",""
"G01","gapfill","PASS",150.9517,"constant 2D land only",""
"G02","gapfill","PASS",147.2997,"constant 3D per layer",""
"G03","gapfill","PASS",124.8852,"layer nanmean",""
"G04","gapfill","PASS",0.0109,"keep as is",""
"G05","gapfill","PASS",60.937,"land NaN diagnostic",""
"G06","gapfill","PASS",29.3489,"global NaN diagnostic",""
"G07","gapfill","PASS",48.8804,"integer conversion",""
"G08","rejection","PASS",12.2874,"unknown method named",""
"Y01","yaml","PASS",1654.7718,"minimal YAML drives pipeline",""
"Y02","rejection","PASS",0.2774,"missing GAPFILL rejected before IO",""
"Y03","yaml","PASS",307.5586,"builder output validates",""
"Y04","rejection","PASS",0.2905,"LABEL cardinality rejected",""
"O01","output","PASS",106.5025,"main data structure and values",""
"O02","output","PASS",117.8906,"same-shape std appended",""
"O03","output","PASS",96.9829,"existing output is safely skipped",""
"O04","rejection","PASS",40.993,"catalog tag conflict rejected",""
"V01","manual","MANUAL",0.0,"two reviewers accept direction plot","requires two recorded human reviewers"
"V02","manual","MANUAL",0.0,"two reviewers reject deliberately reversed plot","requires two recorded human reviewers"
